ID,Corredor,Sentido,Inicio,Fin,Longitud [km],Proyecto,PYP,Operación,Estado,Google maps,Python,Vectorrutas,Origin,Punto de control,Destination,Enviar correo,Consulta Phyton,Archivo Phyton,Observaciones_1
1,Avenida Regional,SN,Tugo,Calle 30 ,4.7,PMV,Exenta,Continuo,Inactivo,"https://www.google.es/maps/dir/'6.190462,-75.582568'/'6.231711,-75.575206'/@6.2111735,-75.5963862,14z/data=!3m1!4b1!4m9!4m8!1m3!2m2!1d-75.582568!2d6.190462!1m3!2m2!1d-75.575206!2d6.231711","https://maps.googleapis.com/maps/api/directions/json?origin=6.190462,-75.582568&destination=6.231711,-75.575206&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde el panel de TUGO hasta Calle 30 por corredor del rio,"6.190462,-75.582568",,"6.231711,-75.575206",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.190462,-75.582568&destination=6.231711,-75.575206&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,1,""Ruta desde el panel de TUGO hasta Calle 30 por corredor del rio"",0)",,SÓLO SE CALCULA PARA PUBLICACIÓN EN PMV
2,Avenida Regional,SN,Tugo,San Juan,6.6,Informe mensual de tráfico/TV P.O/PyP,Exenta,Continuo,Activo,"https://www.google.es/maps/dir/'6.190462,-75.582568'/'6.248326,-75.579870'/@6.2328406,-75.5843181,14.5z/data=!4m15!4m14!1m8!2m2!1d-75.582568!2d6.190462!3m4!1m2!1d-75.5758541!2d6.2359919!3s0x8e4429b2e60916a9:0x8fd4d459447c44a6!1m3!2m2!1d-75.57987!2d6.248326!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.190462,-75.582568&destination=6.2470512,-75.5796508&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde el panel de TUGO hasta San Juan por corredor del rio,"6.190462,-75.582568",,"6.2470512,-75.5796508",1.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.190462,-75.582568&destination=6.2470512,-75.5796508&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,2,""Ruta desde el panel de TUGO hasta San Juan por corredor del rio"",1)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
3,Autopista Sur,NS,CTI,Calle 30 ,4.5,PMV,Exenta,Continuo,Inactivo,"https://www.google.es/maps/dir/'6.2697309,-75.571662'/'6.2315905,-75.5758955'/@6.2515188,-75.5794558,15.25z/data=!4m9!4m8!1m3!2m2!1d-75.571662!2d6.2697309!1m3!2m2!1d-75.5758955!2d6.2315905","https://maps.googleapis.com/maps/api/directions/json?origin=6.2697309,-75.571662&destination=6.2315905,-75.5758955&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde el panel de CTI hasta calle 30 por corredor del rio ,"6.2697309,-75.571662",,"6.2315905,-75.5758955",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2697309,-75.571662&destination=6.2315905,-75.5758955&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,3,""Ruta desde el panel de CTI hasta calle 30 por corredor del rio "",0)",,SÓLO SE CALCULA PARA PUBLICACIÓN EN PMV
4,Autopista Sur,NS,CTI,Calle 10,6.5,Informe mensual de tráfico/TV P.O/PyP,Exenta,Continuo,Activo,"https://www.google.es/maps/dir/'6.2697309,-75.571662'/'6.2138496,-75.5782913'/@6.2493735,-75.5917786,13.75z/data=!4m9!4m8!1m3!2m2!1d-75.571662!2d6.2697309!1m3!2m2!1d-75.5782913!2d6.2138496","https://maps.googleapis.com/maps/api/directions/json?origin=6.2697309,-75.571662&destination=6.2138496,-75.5782913&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde el panel de CTI hasta Calle 10 por corredor del rio ,"6.2697309,-75.571662",,"6.2138496,-75.5782913",1.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2697309,-75.571662&destination=6.2138496,-75.5782913&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,4,""Ruta desde el panel de CTI hasta Calle 10 por corredor del rio "",1)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
5,Carrera 64C,NS,Solla,Punto Cero,5.3,Informe mensual de tráfico/TV P.O/PyP,Exenta,Continuo,Activo,"https://www.google.es/maps/dir/'6.3093113,-75.5599767'/6.2657833,-75.5750338/@6.2656605,-75.5754498,18.25z/data=!4m7!4m6!1m3!2m2!1d-75.5599767!2d6.3093113!1m0!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.3093113,-75.5599767&destination=6.2657833,-75.5750338&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Solla hasta Punto Cero por Autopista Norte,"6.3093113,-75.5599767",,"6.2657833,-75.5750338",1.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.3093113,-75.5599767&destination=6.2657833,-75.5750338&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,5,""Ruta desde Solla hasta Punto Cero por Autopista Norte"",1)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
6,Carrera 64C,SN,Punto Cero,Solla,5.3,Informe mensual de tráfico/TV P.O/PyP,Exenta,Continuo,Activo,"https://www.google.es/maps/dir/'6.2657404,-75.5749101'/'6.3094369,-75.5597638'/@6.2876899,-75.5839211,14z/data=!3m1!4b1!4m9!4m8!1m3!2m2!1d-75.5749101!2d6.2657404!1m3!2m2!1d-75.5597638!2d6.3094369","https://maps.googleapis.com/maps/api/directions/json?origin=6.2657404,-75.5749101&destination=6.3094369,-75.5597638&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Punto Cero hasta Solla por Autopista Norte,"6.2657404,-75.5749101",,"6.3094369,-75.5597638",1.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2657404,-75.5749101&destination=6.3094369,-75.5597638&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,6,""Ruta desde Punto Cero hasta Solla por Autopista Norte"",1)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
7,Avenida 80,NS,Calle 65,Calle 30 ,5.1,Informe mensual de tráfico/TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2735269,-75.5930641/6.2312264,-75.6023703/@6.2508345,-75.6045907,14z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2735269,-75.593064&destination=6.2312264,-75.6023703&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 65 hasta Calle 30 por Avenida 80,"6.2735269,-75.593064",,"6.2312264,-75.6023703",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2735269,-75.593064&destination=6.2312264,-75.6023703&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,7,""Ruta desde Calle 65 hasta Calle 30 por Avenida 80"",0)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
8,Avenida 80,NS,Calle 30,Campos de paz,3.1,Gestión de velocidad,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2309099,-75.602343/6.2080825,-75.5909156/@6.2173275,-75.6060188,14.75z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2309099,-75.602343&destination=6.2080825,-75.5909156&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 30 hasta Campos de Paz por Avenida 80,"6.2309099,-75.602343",,"6.2080825,-75.5909156",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2309099,-75.602343&destination=6.2080825,-75.5909156&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,8,""Ruta desde Calle 30 hasta Campos de Paz por Avenida 80"",0)",tiempos_de_viaje_seguimiento_6.pyw,"Se incluye en la consulta de gestión de la velocidad el 12/03/2021
Seguimiento 13/07/2022"
9,Avenida 80,SN,Calle 30 ,Calle 65,5.1,Informe mensual de tráfico/TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2312719,-75.6018802/6.2734802,-75.5929367/@6.2523344,-75.6155366,14z/data=!3m1!4b1!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2312719,-75.6018802&destination=6.2734802,-75.5929367&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 30 hasta Calle 65 por Avenida 80,"6.2312719,-75.6018802",,"6.2734802,-75.5929367",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2312719,-75.6018802&destination=6.2734802,-75.5929367&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,9,""Ruta desde Calle 30 hasta Calle 65 por Avenida 80"",0)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
10,Avenida 80,SN,Campoz de paz,Calle 30,3.1,Gestión de velocidad,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2082005,-75.5908909/6.2309201,-75.6018993/@6.2190071,-75.6035142,15z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2082005,-75.5908909&destination=6.2309201,-75.6018993&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Campos de Paz a Calle 30 por Avenida 80,"6.2082005,-75.5908909",,"6.2309201,-75.6018993",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2082005,-75.5908909&destination=6.2309201,-75.6018993&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,10,""Ruta desde Campos de Paz a Calle 30 por Avenida 80"",0)",tiempos_de_viaje_seguimiento_6.pyw,"Se incluye en la consulta de gestión de la velocidad el 12/03/2021
Seguimiento 13/07/2022"
11,Avenida Las Palmas,NS,Sandiego,Chuscalito,5.9,Informe mensual de tráfico/TV P.O/PyP,Exenta,Continuo,Activo,"https://www.google.es/maps/dir/6.237003,-75.5698382/6.2158339,-75.5524516/@6.2260878,-75.5616931,15.75z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.237003,-75.5698382&destination=6.2158339,-75.5524516&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Sandiego hasta Chuscalito por Palmas,"6.237003,-75.5698382",,"6.2158339,-75.5524516",1.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.237003,-75.5698382&destination=6.2158339,-75.5524516&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,11,""Ruta desde Sandiego hasta Chuscalito por Palmas"",1)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
12,Avenida Las Palmas,SN,Chuscalito,Sandiego,6,Informe mensual de tráfico/TV P.O/PyP,Exenta,Continuo,Activo,"https://www.google.es/maps/dir/6.2158586,-75.5523571/6.2372101,-75.5697612/@6.2236822,-75.5602409,15.25z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2158586,-75.5523571&destination=6.2372101,-75.5697612&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Chuscalito hasta Sandiego por Palmas,"6.2158586,-75.5523571",,"6.2372101,-75.569761",1.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2158586,-75.5523571&destination=6.2372101,-75.5697612&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,12,""Ruta desde Chuscalito hasta Sandiego por Palmas"",1)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
13,Avenida El Poblado,NS,Calle 30,Calle 12Sur,3.8,Informe mensual de tráfico/TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2265177,-75.5692395/6.1937102,-75.576501/@6.2056614,-75.5776561,14.5z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2265177,-75.5692395&destination=6.1937102,-75.576501&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 30 hasta Aguacatala por Avenida El Poblado,"6.2265177,-75.5692395",,"6.1937102,-75.576501",1.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2265177,-75.5692395&destination=6.1937102,-75.576501&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,13,""Ruta desde Calle 30 hasta Aguacatala por Avenida El Poblado"",1)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
14,Avenida El Poblado,SN,Calle 12Sur,Calle 30 ,3.8,Informe mensual de tráfico/TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.1939187,-75.5763797/6.2265075,-75.569087/@6.2110932,-75.5781029,15z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.1939187,-75.5763797&destination=6.2265075,-75.569087&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Aguacatala hasta Calle 30 por Avenida El Poblado,"6.1939187,-75.5763797",,"6.2265075,-75.569087",1.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.1939187,-75.5763797&destination=6.2265075,-75.569087&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,14,""Ruta desde Aguacatala hasta Calle 30 por Avenida El Poblado"",1)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
15,Avenida Guayabal,NS,Calle 30,Calle 12Sur,4.1,Informe mensual de tráfico/TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2317255,-75.5776158/6.1976991,-75.5898354/@6.2123374,-75.5915016,14.75z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2317255,-75.5776158&destination=6.1976991,-75.5898354&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 30 hasta Aguacatala por Avenida Guayabal,"6.2317255,-75.5776158",,"6.1976991,-75.5898354",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2317255,-75.5776158&destination=6.1976991,-75.5898354&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,15,""Ruta desde Calle 30 hasta Aguacatala por Avenida Guayabal"",0)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
16,Avenida Guayabal,SN,Calle 12Sur,Calle 30 ,4.1,Informe mensual de tráfico/TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.1976929,-75.5897685/6.2317393,-75.5775196/@6.2134259,-75.5902883,15z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.1976929,-75.5897685&destination=6.2317393,-75.5775196&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Aguacatala hsata Calle 30 por Avenida Guayabal,"6.1976929,-75.5897685",,"6.2317393,-75.5775196",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.1976929,-75.5897685&destination=6.2317393,-75.5775196&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,16,""Ruta desde Aguacatala hsata Calle 30 por Avenida Guayabal"",0)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
